Calc. Date= 11-10-2019, Time= 00:15:11
============================== SRIM-2013.00 ==============================
 =====================================================================
 =                   Ion Energy vs Position File                     =
 =====================================================================
 =   AXIS DEFINITIONS: X=Depth, Y,Z= Lateral plane of target surface.=
 =   (If beam enters target at an angle, this tilt is in Y direction)=
 =   Shown are: Ion Number, Energy (keV), X, Y, Z Position           =
 ==================  CALCULATION   DATA  =============================
  Ion Data: Name, Mass,   Energy , Energy Interval
            O     018.00  130000keV    1000000eV
 =====================================================================
Ion       Energy     Depth (X)     Y           Z       Electronic   Energy Lost to
Number    (keV)    (Angstrom)  (Angstrom)  (Angstrom)  Stop.(eV/A)  Last Recoil(eV)
------- ----------- ---------- ----------- ----------- -----------  ---------------
0000001 3.2907E+04  3.0063E+05  3.5006E+03 -3.1757E+03  4.3902E+02  5.3014E+00
0000001 3.1955E+04  3.0302E+05  3.5449E+03 -3.2140E+03  4.4183E+02  5.1366E+00
0000001 3.0888E+04  3.0537E+05  3.5845E+03 -3.2616E+03  4.4498E+02  1.3160E+01
0000001 2.9925E+04  3.0767E+05  3.5840E+03 -3.2042E+03  4.4781E+02  1.0097E+01
0000001 2.8967E+04  3.0993E+05  3.5745E+03 -3.1411E+03  4.5061E+02  2.0962E+01
0000001 2.7970E+04  3.1214E+05  3.5706E+03 -3.0804E+03  4.5349E+02  1.0128E+01
0000001 2.6858E+04  3.1462E+05  3.5576E+03 -3.0032E+03  4.5667E+02  1.3933E+01
0000001 2.5908E+04  3.1673E+05  3.5512E+03 -2.9527E+03  4.5933E+02  8.2699E+00
0000001 2.4970E+04  3.1881E+05  3.5192E+03 -2.8916E+03  4.6190E+02  3.1921E+01
0000001 2.3864E+04  3.2112E+05  3.4688E+03 -2.8062E+03  4.6484E+02  8.3666E+00
0000001 2.2947E+04  3.2309E+05  3.4197E+03 -2.7308E+03  4.6719E+02  1.6173E+01
0000001 2.1915E+04  3.2529E+05  3.3414E+03 -2.6485E+03  4.6971E+02  4.3811E+00
0000001 2.0895E+04  3.2743E+05  3.2575E+03 -2.5822E+03  4.7204E+02  1.8447E+01
0000001 1.9910E+04  3.2951E+05  3.1851E+03 -2.4803E+03  4.7412E+02  5.4015E+01
0000001 1.8980E+04  3.3154E+05  3.1118E+03 -2.3594E+03  4.7589E+02  1.0611E+01
0000001 1.7993E+04  3.3350E+05  3.0309E+03 -2.2463E+03  4.7752E+02  1.3531E+02
