Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 105217 events for each energy)
Ecm(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	2n	4n	3n	6n	7n	5n	8n	1n	9n	
113.24600	80.38600	1.32484E+3	2.95397E+1	1.29530E+3	0.0	0.0	0.0	7.74379E+0	8.48669E+0	0.65475E+0	5.03661E-2	0.0	0.0
114.24900	81.38900	1.34493E+3	2.85432E+1	1.31639E+3	0.0	0.0	0.0	6.73635E+0	8.60259E+0	0.48573E+0	0.10226E+0	0.0	0.0
115.25100	82.39100	1.36465E+3	2.76647E+1	1.33698E+3	0.0	0.0	0.0	5.56407E+0	8.98811E+0	0.32424E+0	0.14266E+0	0.0	0.0
116.25300	83.39300	1.38280E+3	2.82824E+1	1.35452E+3	0.0	0.0	0.0	5.44095E+0	9.46253E+0	0.14456E+0	0.21027E+0	0.0	0.0
117.25500	84.39500	1.40168E+3	2.89883E+1	1.37269E+3	0.0	0.0	0.0	4.44949E+0	9.49846E+0	0.14654E+0	0.38633E+0	0.0	0.0
118.25700	85.39700	1.42033E+3	2.82940E+1	1.39204E+3	0.0	0.0	0.0	3.72574E+0	9.51684E+0	0.14849E+0	0.58046E+0	0.0	0.0
119.25900	86.39900	1.43700E+3	2.62360E+1	1.41076E+3	0.0	0.0	0.0	2.64955E+0	8.89101E+0	2.73149E-2	0.68287E+0	0.0	0.0
120.26200	87.40200	1.45520E+3	2.79791E+1	1.42722E+3	0.0	0.0	0.0	2.76610E+0	9.48772E+0	4.14915E-2	1.00963E+0	0.0	0.0
121.26400	88.40400	1.47228E+3	2.72860E+1	1.44500E+3	0.0	0.0	0.0	2.00098E+0	8.47966E+0	5.59713E-2	1.38529E+0	0.0	0.0
122.26600	89.40600	1.48792E+3	2.76606E+1	1.46026E+3	0.0	0.0	0.0	1.54141E+0	8.81010E+0	7.07070E-2	1.30101E+0	0.0	0.0
123.26800	90.40800	1.50568E+3	2.55724E+1	1.48011E+3	0.0	0.0	0.0	1.31654E+0	7.34115E+0	2.86205E-2	1.74585E+0	0.0	0.0
124.27000	91.41000	1.52050E+3	2.61854E+1	1.49432E+3	0.0	0.0	0.0	0.98267E+0	6.89318E+0	1.44511E-2	2.08096E+0	0.0	0.0
125.27200	92.41200	1.53652E+3	2.63298E+1	1.51019E+3	0.0	0.0	0.0	0.74476E+0	6.26482E+0	1.46033E-2	2.46796E+0	0.0	2.92066E-2
126.27500	93.41500	1.55239E+3	2.54509E+1	1.52694E+3	0.0	0.0	0.0	0.53114E+0	6.37379E+0	0.0	2.37542E+0	0.0	1.47541E-2
127.27700	94.41700	1.56625E+3	2.65267E+1	1.53973E+3	0.0	0.0	0.0	0.46146E+0	5.41848E+0	0.0	3.06650E+0	0.0	0.0
128.27900	95.41900	1.58230E+3	2.57459E+1	1.55656E+3	0.0	0.0	0.0	0.60153E+0	4.99277E+0	0.0	2.76708E+0	0.0	4.51154E-2

